category,article,version,description,trigger_words,weight,url
architecture,booth_concept,v10,,"theme,realistic,3d,c4d rendering,spotlight,shining,shadows,booth",0.7-1,https://civitai.com/models/201687/sdxlbooths-for-e-commerce-or-dataset
art,papercut,v10,,papercut,,https://civitai.com/models/122567/papercut-sdxl
art,paper_quillinh,v40,,"yanzhi,paper quilling",,https://civitai.com/models/121009/papercut-sdxl-paper-quilling
artist,salvador_dali,v10,,d4lixl,0.75-1.4,https://civitai.com/models/118992/salvador-dali-sdxl-10-art-style-lora
artist,tang_bohu,v10,"Tang Yin (from March 6, 1470 to January 7, 1524), known as Bohu, later changed to Ziwei, and was also known as Liuru Jushi, Taohua Anzhu, Tang Sheng of the State of Lu, and Escaping Zen Immortal Officer. He was born in Wu County, Suzhou Prefecture, Southern Zhili. Famous painter, calligrapher and poet of the Ming Dynasty.","tangbohu style",,https://civitai.com/models/122748/tang-bohus-painting-style-lora-sdxl-xl
artist,makoto_shinkai,v10,"It works primarily for generating landscapes, and does not work well with people. The model was trained on images from Your Name and Weathering With You.","by Makoto Shinkai",,https://civitai.com/models/120855/makoto-shinkai-style-sdxl-10-lora
artist,fajyobore,v10,,,,https://civitai.com/models/118881/fajyoborestylesdxl
artist,eduardo_rodriguezcalzado,v10,,,,https://civitai.com/models/99489?modelVersionId=128695
background,vn_BacSon_valley,v10,,bacsonvietnam,1.0-1.1,https://civitai.com/models/158496/bac-son-valley-in-vietnam
asset,china_dish,v20,,,,https://civitai.com/models/255392/old-china-style-food
background,white_background,v10,,"with a white background",,https://civitai.com/models/119388/white-background
background,golden_wind_and_palace_chinese,v10,,"jinsixiangyun/traditional",0.8-1.0,https://civitai.com/models/116614?modelVersionId=126288
background,dragon_ball_landscapes,,,"Land/Desert/Snow/Montains/Namek/Kayoshin/Kami/Karin/Kamehouse/Kaito/Caos/Tournament/Gokuhouse/Gohanhouse/Cellgame/Ship/Time/Capsule/City/Forest/Caramel/Snake",,https://civitai.com/models/329546?modelVersionId=369274
