category,article,version,description,trigger_words,weight,url
asset,game_tree,v10,,"game icon institute, game icon",0.4-0.8,https://civitai.com/models/97857/game-icon-research-institute-lora-tree
asset,chinese_couplets,v10,,"ruanyi0140, text focus, Chinese character, red theme",1,https://civitai.com/models/280290/chinese-couplets
asset,food_dish,v10,,"game icon institute, game icon, food",0.5-0.8,https://civitai.com/models/106112/game-iconfood
asset,food_dish,v20,,"game icon institute, food",0.4-1.0,https://civitai.com/models/81308/gameiconresearchfoodlora
asset,game_wings,v10,,wings,,https://civitai.com/models/91102/game-iconglowingwings
asset,cartoon_3d,v10,,"3dzujian, 3d rendering",0.6-0.9,https://civitai.com/models/176962/3d-cartoon-stage-property-elementscartoon-icon3dyuan
asset,egypt_assets,v10,,"Egyptian_Icons, no humans, still life, gold, sparkle",,https://civitai.com/models/230019/egyptian-icons-fantasy-game-asset
architecture,booth_concept,v10,,arwboothconcept,,https://civitai.com/models/126595/kiosk-booth-concept
architecture,gmic_building,v10,,"Game Icon Institute, Game Icon",0.4-0.8,https://civitai.com/models/96325/gameiconresearchgfjzlora
architecture,modern_apartment,v10,,mabuilding,,https://civitai.com/models/67729/modern-apartment-buildinglora
architecture,brusArch_apartment,v10,,"brus, apartment building",,https://civitai.com/models/86666/brusarch-modern-architecture-model
architecture,green_building,v10,,,,https://civitai.com/models/121622?modelVersionId=132351
architecture,colorplane_design,v20,,,0.5-1.3,https://civitai.com/models/52997/xsarchi110colorplane
architecture,masterplane_design,v20,,a plan of a city,,https://civitai.com/models/61555/yqmasterplan-for-controlnet
architecture,masterplane_render,v10,"a plan of a city with lots of buildings and a lot of trees in it, and a lot of parking lots",aargsitemap/aargdetailmap,,https://civitai.com/models/96386/aargmasterplan-render
architecture,ancient_chinese_gugong,v10,,,,https://civitai.com/models/18679
architecture,ancient_chinese_chengquiang,v10,,chengqiang,,https://civitai.com/models/18679?modelVersionId=22612
architecture,town_house,v10,,townhouse,,https://civitai.com/models/131561
architecture,arabian_town,v11,,artow,,https://civitai.com/models/306094/arabian-towns
architecture,tropical_house,,,,,https://drive.google.com/file/d/1hzy51ep86PXtrXAdAgCFwdHKkMFBweyH/view
architecture,toilette_modern,,,,,https://drive.google.com/drive/folders/1m2vhdj9IVw5y98R88QixYLgwuRqtf1cN
architecture,interior_design_minimalism,v10,,archminimalist,,https://civitai.com/models/119687/minimalist-interior
architecture,interior_design_mim,,,,,https://drive.google.com/file/d/1N5b6w8OlO_UlFZmjrrtECIFP2nRdYgaP/view
architecture,interior_design_neoclassic_wood,v10,,neoclassic_wood_{kitchen/bedroom},,https://civitai.com/models/132084
architecture,interior_design_neoclassic,v10,,neoclassic {bedroom/living room},,https://civitai.com/models/97680/neoclassic-interior
architecture,interior_design_scandinavian,v10,,scandinavian_{living_room/bedroom/kitchen},,https://civitai.com/models/93208/eliai-scandinavian-interior
architecture,interior_design_indochine,v10,,indochine_{living_room/bedroom/kitchen},,https://civitai.com/models/97517/eliai-indochine-interior
architecture,interior_design_housefarm,v10,,,,https://drive.google.com/drive/u/0/folders/123Q8LPhyAdCR37SYDVf6dvt-bHMREIGB
architecture,bathroom_modern,v10,,"bathroom, toilet",,https://civitai.com/models/100863/rfc-ai-toliet
artist,guongbihua,v10,,,,https://civitai.com/models/111268/niji-cgongbi
asset,warcraft_weapons,v12,,sword/axe/bow/cleaver,,https://civitai.com/models/68668/pecha-swords-generator
background,ancient_chinese_jiangnan,v13+,,Jiangnan/CS_Jiangnan/Huangshan/canal town,,https://civitai.com/models/118559
background,ancient_chinese_indoors,v10,,ancient_chinese_indoors,,https://civitai.com/models/98323?modelVersionId=105142
background,gemstone_scene,v10,,"diamond, ruby, sapphire, Tanzanite, yellow diamond, green diamond, crystal",0.6-0.8,https://civitai.com/models/278451/e-commerce-photographyjewelry-scene-colored-gemstone-booth
background,aurora_lightning,,,aurora/lightning,,https://civitai.com/models/85026
background,aurora_glacier,,,aurora,,https://civitai.com/models/85026?modelVersionId=95843
background,aurora_flare,,,,,https://civitai.com/models/85026?modelVersionId=93628
background,aurora_feather,,,,,https://civitai.com/models/85026?modelVersionId=92242
background,aurora_starcloud,,,,,https://civitai.com/models/85026?modelVersionId=96211
background,aurora_spacehole,,,space,,https://civitai.com/models/85026?modelVersionId=100061
background,cloud_style,v10,,,,https://civitai.com/models/93792/cloud-style
background,cloud_tunnel,v10,,cloudtunnel,,https://civitai.com/models/97677/cloudtunnel
background,cloud_tornado,v10,,cloud,,https://civitai.com/models/92452/tornado-cloud
background,cloud_stick,v10,,cloudstick,,https://civitai.com/models/104082/sdvn-cloudstick
background,mirkwood_LordOfTheRings,,,mirkw00d,,https://civitai.com/models/71593
background,cherry_blossom,v10,,cherry blossom,,https://civitai.com/models/308289/cherry-blossom
background,sitting_moon,v10,,"sitting moon, moon, stars, cloud",0.5-0.9,https://civitai.com/models/109820/sitting-moon-or-background
background,ripples_wave,v10,,ripples/wave/water drop,0.2-0.3,https://civitai.com/models/112671/ripples
background,vn_DaLat_stairs,v10,,docdalat/stair/from above,,https://civitai.com/models/117247/tq-da-lat-vietnam-or-dja-lat-va-nhung-con-doc-or-background-lora
background,vn_SaiGon_old,v10,,saigon,,https://civitai.com/models/106750/tq-old-saigon-or-sai-gon-xua-or-background-lora
background,vn_cave_SonDoong,v10,,"Cave, SonDoong",0.6-0.8,https://civitai.com/models/109097/tq-son-doong-cave-in-vietnam-or-the-worlds-largest-natural-caves-or-background-lora
background,vn_lotus_pond,v10,,"dongthapmuoi, lotus, river",,https://civitai.com/models/110425/tq-dong-thap-in-vietnam-or-djong-thap-muoi-or-background-lora
background,vn_Hue_house,v05,,"exterior, vietnamese heritage house",,https://civitai.com/models/325843/aidvnarchitecturevietnamese-heritage-ruong-house-nha-ruong
background,magical_forest_daylight,v10,,forest/sky,,https://civitai.com/models/96283?modelVersionId=102845
background,portal,v10,,"portal, gateway, magical entrance",,https://civitai.com/models/497453/portals-and-gateways
background,fairy_forest,v11,,FeyFa,,https://civitai.com/models/285736/fey-and-fairies
background,swamp,v11,,FanSwa,,https://civitai.com/models/270960/fantasy-swamps
background,flower_gate,v10,,,,https://civitai.com/models/603359/jay-flower-gate-lover
background,magical_forest_nightcore,v10,,night sky,,https://civitai.com/models/96283?modelVersionId=125356
background,library_bookshelves,v16,,lib_bg,1,https://civitai.com/models/113488/library-bookshelf
background,visual_novel_niji,,,niji_vn_bg/no humans,,https://civitai.com/models/104592/niji-visual-novel-background
background,ghibli,v50,,,,https://civitai.com/models/54233
background,visual_novel_trainstation,v10,,vntrainstation ,,https://civitai.com/models/113942/visual-novel-game-assets
background,visual_novel_cornerstreet,v10,,animecity ,,https://civitai.com/models/113942?modelVersionId=123136
background,visual_novel_library,v10,,vnschoollibrary,,https://civitai.com/models/113942?modelVersionId=123871
background,jp_apartment_hallway,v10,,"rouka, hallway, scenery, door, ceiling light",,https://civitai.com/models/203276/apartment-hallway-sd15
background,new_english_loft,v10,,"{wide/portrait}, loft, apartment, bed, window",0.5,https://civitai.com/models/641138/a-small-loft-new-english-style-sd-15
background,medieval_bridge,v10,,bridge,1,https://civitai.com/models/1071930/bridges
background,game_scene_realistic,v10,,"game icon institute, game icon",0.4-0.8,https://civitai.com/models/97862/game-icon-research-institute-lora-scene-cutting
background,game_scene_cartoon,v10,,"game icon institute, game icon",0.4-0.8,https://civitai.com/models/114780/game-icon-institute
background,game_scene_suimo,v10,,"game icon institute, game icon, sui_mo",0.4-0.8,https://civitai.com/models/129947/game-icon-institutesuimov1
background,game_scene_territory,v10,,"game icon institute, game icon",0.4-0.8,https://civitai.com/models/97079/gameiconresearchcj2lora
background,game_scene_hostel,v20,,game icon institute,0.4-0.8,https://civitai.com/models/102883?modelVersionId=110568
clothes,flower_blindfold,v10,,Flower Blindfold,0.7-1.0,https://civitai.com/models/140356?modelVersionId=155539
clothes,arabian_clothes,v10,,arabian clothes,0.7,https://civitai.com/models/265018/arabian-clothes
clothes,chinese_opera_costume,v10,,"Chinese costume, large headpiece",,https://civitai.com/models/33351/chinese-drama-costume
clothes,china_opera_costume,v10,,guofeng,,https://civitai.com/models/79016/china-opera-yuan-style
clothes,beijing_opera_costume,v10,,beijing opera,,https://civitai.com/models/176405/china-chic-or-beijing-opera-or
clothes,hanfu,v30,,,hanfu/ming style/tang style/song style/jin style/han style,https://civitai.com/models/15365?modelVersionId=54777
clothes,hanfu_underdress,v03,,hanfu,0.7-chilloutmix/0.4-animation,https://civitai.com/models/15961
clothes,hanfu_winter,v10,,hanfu/winter hanfu/Cloak,0.5-0.65,https://civitai.com/models/108815
clothes,hanfu_niji,v10,,,,https://civitai.com/models/115829/niji-cfashion
clothes,hanfu_niji,v10,,,,https://civitai.com/models/111353/niji-chanfu
clothes,hanfu_cyber,v10,,cyberhanfu/cheongsam/chinese_clothes,,https://civitai.com/models/93030/cyberhanfu-cyber-chinese-style?modelVersionId=99173
clothes,jyojifuku_china,v10,,"jyojifuku, hair ornament, skirt, see-through",0.4-0.7,https://civitai.com/models/386991/china-dress
clothes,jyojifuku_china_sleeveless,v20,,"jyojifuku, china dress, skirt",0.7,https://civitai.com/models/393055/china-dress
clothes,serafuku,,,"1girl, japanese school shirt, sailor collar, neckerchief, {long/short} sleeves, skirt, socks, black shoes",,https://civitai.com/models/106552/realistic-and-anime-serafuku-sailor-uniform
clothes,samurai_armor,v10,,"samurai, armor",,https://civitai.com/models/83476/samurai-armor-japan-traditional-dress-series
clothes,vn_nguyen_dynasty_empiror,,,"Vietnam dragon robe, emperor crown",0.6,https://civitai.com/models/488092/vietnam-nguyen-dynasty-dragon-robe
clothes,vn_nguyen_dynasty_officer,,,"Vietnamese court official, clothing",0.8,https://civitai.com/models/494122/vietnam-nguyen-dynasty-court-official-clothing
clothes,vn_ao_yem,v10,,<lora:AoYem_V4_Locon:1>,,https://civitai.com/models/30692/ao-yem-vietnamese-dress-2
clothes,vn_ao_ba_ba,v10,,,0.6-0.8,https://civitai.com/models/107977/tq-vietnamese-dress-or-ao-ba-ba-or-clothing-lora
clothes,vn_long_dress_white,v10,,,0.6,https://civitai.com/models/16766/ao-dai-vietnamese-long-dress
clothes,vn_long_dress_renovated,v10,,aodai,1,https://civitai.com/models/103256
clothes,vn_long_dress_cyber,v10,,futureaodai/Mechanical part/Mecha,0.5-0.75,https://civitai.com/models/127025?modelVersionId=138946
clothes,vn_wedding_dress,v10,,aodaicuoi/{color},0.6-0.8,https://civitai.com/models/117092
clothes,vn_nhat_binh_lah,v20,,Nhat Binh/nhat binh clothes/headwear/hat,,https://civitai.com/models/89220
clothes,vn_nhat_binh_tq,v10,,nhatbinh,,https://civitai.com/models/117260
clothes,vn_nhat_binh_portrait,v10,,nhatbinh/round hat/short hair,,https://civitai.com/models/87252
clothes,vn_suon_xam,v40,,suonxam,,https://civitai.com/models/114147
clothes,vn_4_piece_dress,v10,,tu_than/wearing tu_than,0.7-0.8,https://civitai.com/models/91094/vietnamesetuthan-four-piece-dress
clothes,vn_5_piece_dress,v10,,ao_tac/wearing ao_tac,0.6-0.7,https://civitai.com/models/88836/vietnameseaotac-five-piece-dress
clothes,vn_modern_dress,v20,,girl02,,https://civitai.com/models/144295?modelVersionId=160342
clothes,rococo_francais,v10,,rococo costume/rococo style,0.3,https://civitai.com/models/130399/rococo2m
clothes,diamond_dress,v20,,diamondv2,0.65,https://civitai.com/models/103665/lah-diamond-dress-or-asian-woman-dress
character,shrek,v20,,shrex,0.9,https://civitai.com/models/20683
character,shrek_dragoness,v1_locon,,shrekdragon,,https://civitai.com/models/118156?modelVersionId=128129
character,aladdin_jasmine_waifu,v10,,"JasmineWaifu/(arabian clothes, off-shoulder shirt, pants)/(multi-tied hair, long hair)/(jewelry)/(red arabian clothes)",0.5-0.8,https://civitai.com/models/48875/jasmine-aladdin-disney-princess-by-yeiyeiart
character,tangled_rapunzel_waifu,v10,,RapunzelWaifu/dress/blonde,0.5-0.8,https://civitai.com/models/39104/rapunzel-disney-princess-tangled-by-yeiyeiart
character,snow_white_waifu,v10,,SnowPrincessw/dress/puffy sleeves/skirt,0.5-0.8,https://civitai.com/models/39091/snow-white-disney-princess-by-yeiyeiart
character,cinderella_waifu,v10,,"CinderellaWaifu/dress, gloves, jewelry/brown skirt, long skirt, head scarf, apron",0.5-0.8,https://civitai.com/models/40796/cinderella-disney-princess-by-yeiyeiart
character,frozen_elsa_waifu,v10,,ElsaWaifu/blue dress/single braid,0.5-0.8,https://civitai.com/models/42668/elsa-frozen-disney-princess-by-yeiyeiart
character,frozen_anna_waifu,v10,,"AnnaWaifu/dress/gloves, dress, boots, corset, cape",0.5-0.8,https://civitai.com/models/42675/anna-frozen-disney-princess-by-yeiyeiart
character,alice_in_wonderland_waifu,v10,,AliceWonderlandWaifu/dress,0.5-0.8,https://civitai.com/models/35930/alice-in-wonderland-disney-by-yeiyeiart
character,ariel_little_mermaid_waifu,v10,,"ArielWaifu/shell bikini/Mermaid tail/pink dress, tiara/blue dress, corset, hair bow",0.5-0.8,https://civitai.com/models/46315/ariel-the-little-mermaid-princess-disney-by-yeiyeiart
character,aurora_sleeping_beauty_waifu,v10,,"AuroraWaifu/(pink dress, long skirt, tiara)/(purple eyes)/(dress, long skirt, corset, hairband)",0.5-0.8,https://civitai.com/models/47226/aurora-sleeping-beauty-disney-princess-by-yeiyeiart
character,brave_merida_waifu,v10,,MeridaWaifu/dress,0.5-0.8,https://civitai.com/models/39097/merida-brave-disney-princess-by-yeiyeiart
character,pocahontas_waifu,v10,,"PocahontasWaifu/tribal, dress",0.5-0.8,https://civitai.com/models/41879/pocahontas-disney-princess-by-yeiyeiart
character,fa_mulan_waifu,v10,,"MulanWaifu/japanese clothes/kimono/jacket, pants",0.5-0.8,https://civitai.com/models/41901/fa-mulan-disney-princess-by-yeiyeiart
character,princess_and_frog_tiana_waifu,v10,,"TianaWaifu/white dress/green dress/blue dress/yellow dress, apron/tiara/very dark skin/hair bun",0.5-0.8,https://civitai.com/models/43727/tiana-the-princess-and-the-frog-disney-princess-by-yeiyeiart
character,genshin_impact_all,v10,,kukishinobudef/luminedef/doridef/fischldef/keqingdef/lisadef/raidenshogundef/yaemikodef/kujousaradef/beidoudef/dionadef/ganyudef/kamisatoayakadef/shenhedef/euladef/rosariadef/qiqidef/layladef/niloudef/kokomidef/yelandef/monadef/barbaradef/candacedef/colleidef/yaoyaodef/nahidadef/faruzandef/jeanfavonian/sucrosedef/sayudef/xianglingdef/dehyadef/yoimiyadef/kleedef/hutaodef/xinyandef/amber5star/yanfeidef/noelledef/yunjindef/ningguangdef/,,https://civitai.com/models/108649
character,genshin_impact_cosplay_kirara,,,"kirara_genshin, beautiful face, sweet girl,(cowboy shot), hair ornament, cat ears, blonde long hair, green eyes, detached sleeves, kirara's upshirt, stomach cutout, kirara's short skirt, two cat tails, bare legs,(black leg warmers), ((white fur-trimmed cat feet shoe covers))",,https://civitai.com/models/87320?modelVersionId=135618
character,genshin_impact_cosplay_jean,,,"jean_genshin, 1girl, beautiful face,(close-up), (cowboy shot), blonde hair, hair bow,bare shoulders, detached sleeves, jean's upshirt, jean's puffy white shorts, belt, thigh strap, sandals",,https://civitai.com/models/87320?modelVersionId=134408
character,genshin_impact_cosplay_fischl,,,"fischl_genshin, cowboy shot, 1girl, hair over one eye, blonde long hair, tiara,bare shoulders, detached sleeves, fischl's short dress, white thighhighs, black shoes",,https://civitai.com/models/87320?modelVersionId=133591
character,genshin_impact_cosplay_lumine,,,"1girl, close-up, cowboy shot, lumine_genshin, blonde hair, hair flower, hair between eyes, hair ornament, bangs, white dress, detached sleeves, bare shoulders, lumine's thigh boots",,https://civitai.com/models/87320?modelVersionId=132864
character,genshin_impact_cosplay_babara,,,"((1girl)), babara_in_swimsuit, cowboy shot, blonde hair, blue eyes, twintails, sailor hat, sailor collar, babara's swimsuit, detached sleeves, bare legs, thigh strap, babara's strap, babara's sandals",,https://civitai.com/models/87320?modelVersionId=131978
character,genshin_impact_cosplay_yoimiya,,,,,https://civitai.com/models/87320?modelVersionId=130253
character,genshin_impact_cosplay_ganyu,,,,,https://civitai.com/models/87320?modelVersionId=129385
character,genshin_impact_cosplay_rukkhadeva,,,,,https://civitai.com/models/87320?modelVersionId=128697
character,genshin_impact_cosplay_sangonomiya_kokomi,,,,,https://civitai.com/models/87320?modelVersionId=127348
character,genshin_impact_cosplay_miss_hina,,,,,https://civitai.com/models/87320?modelVersionId=127090
character,genshin_impact_cosplay_ning_guang,,,,,https://civitai.com/models/87320?modelVersionId=125710
character,genshin_impact_cosplay_hutao,,,,,https://civitai.com/models/87320?modelVersionId=124795
character,genshin_impact_cosplay_shenhe,,,,,https://civitai.com/models/87320?modelVersionId=123225
character,genshin_impact_cosplay_raiden_shogun,,,,,https://civitai.com/models/87320?modelVersionId=119542
character,genshin_impact_cosplay_yae_miko,,,,,https://civitai.com/models/87320?modelVersionId=118729
character,genshin_impact_cosplay_keqing,,,,,https://civitai.com/models/87320?modelVersionId=115457
character,genshin_impact_cosplay_ayako_keno_uniform,,,"ayaka_KendoUniform, 1 sweet girl, white long hair, ponytail, pink hair ribbon, bangs, white shirt, blue long hakama skirt",,https://civitai.com/models/87320?modelVersionId=110919
character,genshin_impact_cosplay_ayaka,,,"kamisato_ayaka, 1girl, beautiful face, blue hair, blue eyes, braid, hat, blue dress, white pantyhose, brown boots",,https://civitai.com/models/87320?modelVersionId=105773
character,genshin_impact_cosplay_nilou,,,,,https://civitai.com/models/87320?modelVersionId=92925
character,sailor_moon,v10,,"aausagi, double bun, twintails, parted bangs, circlet, jewelry, earrings, choker, red bow, white gloves, elbow gloves, blue skirt",0.7,https://civitai.com/models/121043/sailor-moon-tsukino-usagi-sailor-moon
character,sailor_mercury,v10,,"mer1, tiara, sailor senshi uniform",0.7-0.8,https://civitai.com/models/55320/sailor-mercury-sailor-moon
character,sailor_venus,v20,,"sv1, sailor senshi uniform, orange skirt, elbow gloves, tiara, orange sailor collar, red bow, orange choker, white gloves, jewelry",,https://civitai.com/models/33470/sailor-venus-sailor-moon
character,sailor_mars,v10,,"sama1, tiara, sailor senshi uniform, white gloves, red sailor collar, red skirt",0.7,https://civitai.com/models/71557/sailor-mars-sailor-moon
character,sailor_jupiter,v10,,"hmjupiter, green eyes, ponytail, tiara, jewelry, sailor senshi uniform, green sailor collar, choker, elbow gloves, white gloves, pink bow, brooch, white leotard, green skirt, pleated skirt",0.6-0.7,https://civitai.com/models/85221/sailor-jupiter-sailor-moon
character,sailor_uranus,v10,,"sailor senshi uniform, sailor collar, chest bow, back bow, plead skirt, white elbow gloves",0.5-1.0,https://civitai.com/models/91752/kizuki-sailor-moon-sailor-uranus-nsfw-support
character,sailor_neptune,v10,,"sailor senshi uniform, chest bow, back bow, plead skirt, white elbow gloves, sailor collar",0.5-1.0,https://civitai.com/models/75992/kizuki-sailor-moon-sailor-neptune-nsfw-support
character,sailor_saturn,v10,,sailor saturn/tiara/sailor senshi uniform,1,https://civitai.com/models/56569/sailor-saturn-or-sailor-moon
character,sailor_pluto,v10,,sailor pluto/single hair bun/tiara/sailor senshi uniform/skirt/gloves,1,https://civitai.com/models/64584/sailor-pluto-or-sailor-moon
character,sailor_cosmos,v10,,"1girl, sailor cosmos, standing, fullbody, solo, long hair, skirt, hair ornament, twintails, jewelry, purple eyes, white hair, pleated skirt, earrings, choker, sailor collar, hair bun, cape, double bun, facial mark, white skirt, brooch, white sailor collar, hairpin, forehead mark, white choker, sailor senshi uniform",,https://civitai.com/models/22618/sailor-cosmos-sailor-moon-lora
character,marvel_silk,v10,,cindymoon/mouth mask/short hair/bodysuit/spider web print,0.8-1.0,https://civitai.com/models/87200/cindy-moon-or-silk
character,dragon_quest_nera,v10,,"nera/hair bow, bracelet, choker, earrings, long dress, sash",0.7-0.9,https://civitai.com/models/104967/nera-briscolettiflora-dragon-quest-v-hand-of-the-heavenly-bride-lora
character,dragon_quest_princess_of_moonbrooke,v10,,"dqPOM/red hood, purple hair, robe/purple hood, blonde hair, robe",0.7-0.9,https://civitai.com/models/113156/princess-of-moonbrooke-dragon-quest-ii-lora
character,dragon_ball_android_18,v10,,"android_18, and18, 1girl",0.5-0.6,https://civitai.com/models/27862/android-18-18-dragon-ball-z
character,dragon_ball_son_goku,offset,,son goku,,https://civitai.com/models/18279/son-goku-dragon-ball-all-series-lora
character,dragon_ball_vegeta,v10,,"vegeta/spiked hair/armor, white gloves",0.8-1.0,https://civitai.com/models/47959/vegeta-or-dragon-ball-z
character,dragon_ball_beerus,v10,,beerus,,https://civitai.com/models/85610/beerus-dragonball
character,dnd_doric_the_druid,v10,,thedruid/photo of a woman,,https://civitai.com/models/112427/doric-the-druid-dungeons-and-dragons-honor-among-thieves
character,raya_and_the_last_dragon_sisu,v20,,sisu_rald,0.6-1.0,https://civitai.com/models/70591/sisu-raya-and-the-last-dragon
character,dragon_girl_realistic,v10,,dragon_real/flame,,https://civitai.com/models/82903/real-dragons
character,dragon_oriental_giant,v10,,dragon/long,,https://civitai.com/models/81125/oriental-giant-dragon
character,diablo_4,v10,,(in the style of D14bl0)/Lilith/Diablo/Inarius/Barbarian/Rogue/Necromancer/Druide/Mage,0.65-1.0,https://civitai.com/models/81463/diablo-4-lora
character,samurai_niji,v10,,,,https://civitai.com/models/89197/niji
character,chinese_sorceress,v10,,"weapon,cleavage,(magic circle:1.1),xiuxian",,https://civitai.com/models/74919/chinese-cultivation-novel
design,logo_with_suzumehachi,v10,,logoarchive/black and white logo,,https://civitai.com/models/34739
design,logo_with_dreamshaper,v10,,coloredic0n icon,0.6-0.9,https://civitai.com/models/60132
design,mascot_2d,v10,,,0.6-0.8,https://civitai.com/models/69353
design,mascot_yuruchara,v10,,yuruchara,0.8-1.0,https://civitai.com/models/158121?modelVersionId=177681
design,illustration,v10,,icon,,https://civitai.com/models/43622/icon01
design,game_icon,v10,,icon,0.4-1.0,https://civitai.com/models/159412/game-icon-institute2d
effect,add_details,v10,,,0.5-1.0,https://civitai.com/models/82098/add-more-details-detail-enhancer-tweaker-lora
effect,detail_tweaker,v10,"positive prompt to add details, negative prompt to remove / reduce details",,-2.0-2.0,https://civitai.com/models/58390/detail-tweaker-lora-lora
effect,disintegration_by_thanos,v10,,DisintegrationEffect,0.7-1.3,https://civitai.com/models/96285
effect,motion_trail,v10,,"motiontrail, motion trail/running",0.6-1.0,https://civitai.com/models/95680?modelVersionId=102161
effect,landscape_in_glass_ring,v10,,Ring,0.7-0.9,https://civitai.com/models/124398?modelVersionId=135832
effect,landscape_in_wine_glass,v10,,Wine glass,0.7-0.9,https://civitai.com/models/127252/wine-glass-art-or-concept-glass
effect,laser_glow,v10,,"game icon institute, game icon",0.4-1.0,https://civitai.com/models/90636/gameiconresearchlaserlora
skin,smoke_or_cloud,v10,,Smoky,"0.3-0.7(landscape),0.6-0.9(realistic characters),0.9-1.3(anime characters)",https://civitai.com/models/113371?modelVersionId=122466
skin,aura_skill_buff,v10,,"guangquan\(skill icon\),aura,glowing",0.7-1.0,https://civitai.com/models/86741/game-iconskillbuff
skin,magical_circle,v11,,Circle/magical circle/mantra/glowing,0.6-1.1,https://civitai.com/models/105512
skin,dragon_hug,v10,,DragonCute/dragon hug/dragon/animal hug,0.7-0.8,https://civitai.com/models/109804/dragoncute
skin,dragon_scales_and_spikes,v20,,Dr490nSc4leAI,,https://civitai.com/models/55543
skin,dragon_ball_super_saiyan_hair,v10,,"SuperSaiyan/blonde hair, super saiyan, spiked hair, aura, electricity/long hair",0.3-1.0,https://civitai.com/models/80196/dragon-ball-super-saiyan-1-and-3-or-hairstyle-concept-lora
skin,dragon_ball_turtle_uniform,v10,,"TurtleSchoolUniform/dougi, belt, orange pants, blue footwear",,https://civitai.com/models/79775?modelVersionId=84601
skin,dragon_ball_ki_charge,v20,,Ki Charge/aura/fighting stance/({color} aura),,https://civitai.com/models/79197/dragon-ball-ki-charge-aura-or-concept-lora
skin,dragon_ball_kamehameha,v10,,"kamehameha/{charging,shoot,beam}/casual wear, look at viewer, energy ball, electricity, aura, {dougi, spike hair, wristband:-1}",0.3-0.5,https://civitai.com/models/94553
skin,diamond_suit,,,DiamonAI,,https://civitai.com/models/62984
skin,barbiecore,v10,,BarbieCore/shiny pink plastic/pastel/pink and white,0.4-1.3,https://civitai.com/models/129667/barbiecore-barbify-anything
skin,salt_bae_fi,v10,,"SaltBaeMeme/salt, sunglases",0.8-1.0,https://civitai.com/models/106212
skin,salt_bae_ui,v10,,saltbae,0.8-1.0,https://civitai.com/models/73116
skin,reaction_surprise,v20,,hands on head/myhonest reaction,0.9-1.0,https://civitai.com/models/90291
skin,sunglasses_deal_with_it,v10,,DealWithIt,0.5-1.0,https://civitai.com/models/86447
