id,demo_url
sdxl_0001,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/52789137-6152-46e0-8a05-bf4a1d691c38/anim=false,width=450/00079-773147981-technology%20theme,cyberpunk,neo%20light,bloom,colorful,_realistic,3d,c4d%20rendering,spotlight,shining,shadows,booth,_lora_booth_0.75.jpeg"
sdxl_0001,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/0bc262dc-f8f6-49a7-bdd0-647f3c08e6dc/anim=false,width=450/00074-366093124-nature%20theme,_realistic,3d,c4d%20rendering,spotlight,shining,shadows,booth,_lora_booth_0.75_,.jpeg"
sdxl_0001,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/51ba1f0a-83b8-46cb-b0df-282126833029/anim=false,width=450/00073-2271185241-mid%20autumn%20theme,full%20moon,_realistic,3d,c4d%20rendering,spotlight,shining,shadows,booth,_lora_booth_0.75_,.jpeg"
sdxl_0001,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/d342b24e-bd69-4e73-86ae-99e7cc280cda/anim=false,width=450/00071-1646568349-halloween%20%20theme,_realistic,3d,c4d%20rendering,spotlight,shining,shadows,booth,_lora_booth_0.75_,.jpeg"
sdxl_0001,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/76384a94-a0ac-4fb1-adbd-6c00116d7556/anim=false,width=450/00069-2523669543-ice%20theme,_realistic,3d,c4d%20rendering,spotlight,shining,shadows,booth,_lora_booth_0.75_,.jpeg"
sdxl_0001,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/3b35c531-652c-4430-98ad-57f8c1dd453a/anim=false,width=450/00077-2034247304-spring%20festival%20theme,_realistic,3d,c4d%20rendering,spotlight,shining,shadows,booth,_lora_booth_0.75_,.jpeg"
sdxl_0002,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/0b6795e7-d9f8-4d87-823d-e911cac3290c/anim=false,width=450/pc%20(14).jpeg"
sdxl_0002,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/fd9ba3ea-ffd4-4517-a906-f2d8d4fbb45d/anim=false,width=450/pc%20(13).jpeg"
sdxl_0002,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/7b9f77c6-eb47-40cb-a1e2-b343d64f969a/anim=false,width=450/pc%20(3).jpeg"
sdxl_0002,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/4a2dd632-9184-47d0-9ae8-9ab38e37ea11/anim=false,width=450/pc%20(1).jpeg"
sdxl_0002,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/c0ad47f7-89b2-4c71-80cd-2032ce0fe757/anim=false,width=450/pc%20(11).jpeg"
sdxl_0002,"https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/aac8bb82-15df-4a00-91d1-e6138cafc82d/anim=false,width=450/pc%20(6).jpeg"
